CPU 1 YBLPVDAKDLWAPP1,Combined System Load
2019-01-05 1:10:02,-16.83894468
2019-01-05 10:00:05,-72.73940886
2019-01-05 17:40:07,211.8608288
2019-01-05 18:20:07,63.95987433
2019-01-05 9:30:04,-41.94337141
2019-01-05 16:10:06,-90.6421586
2019-01-05 9:20:04,103.460608
2019-01-05 12:10:05,41.76139634
2019-01-05 15:50:06,-86.14103744
2019-01-05 3:40:03,-308.6400553
2019-01-05 0:30:02,70.5607748
2019-01-05 6:30:04,90.86112344
2019-01-05 6:30:04,287.3606307
2019-01-05 13:20:06,379.6607157
2019-01-05 6:10:04,408.1572227
2019-01-05 0:50:02,-39.0389625
2019-01-05 10:30:05,-239.5395461
2019-01-05 3:20:03,56.95898064
2019-01-05 9:50:05,-157.1388316
2019-01-05 9:00:04,243.2593228
2019-01-05 16:50:07,-54.63953944
2019-01-05 17:10:07,-144.2394307
2019-01-05 12:50:06,103.6573618
2019-01-05 13:30:06,45.16118365
2019-01-05 10:00:05,506.05942
2019-01-05 23:10:08,163.0604989
2019-01-05 10:20:05,106.9594828
2019-01-05 12:30:05,144.1604207
2019-01-05 13:10:06,154.4608328
2019-01-05 1:50:02,-221.7390418
2019-01-05 8:30:04,-88.33884562
2019-01-05 12:30:05,-7.840220469
2019-01-05 9:10:04,-270.3403247
2019-01-05 17:20:07,51.86079884
2019-01-05 7:50:04,434.8609685
2019-01-05 21:40:08,-145.639772
2019-01-05 17:20:07,63.66101251
2019-01-05 0:10:02,21.1592361
2019-01-05 15:30:06,-67.54032765
2019-01-05 12:20:05,-36.04552021
2019-01-05 23:30:09,137.2609022
2019-01-05 16:10:06,141.3594531
2019-01-05 1:10:02,1.560812265
2019-01-05 8:10:04,-218.5389628
2019-01-05 15:50:06,543.8602086
2019-01-05 20:20:08,307.9601378
2019-01-05 10:00:05,93.86043765
2019-01-05 6:40:04,157.8602604
2019-01-05 6:10:04,-155.8393161
2019-01-05 10:40:05,-89.04029295
2019-01-05 2:10:02,301.6599831
2019-01-05 18:30:07,-386.4396862
2019-01-05 0:50:02,522.5611343
2019-01-05 7:10:04,103.3611129
2019-01-05 21:20:08,-146.7394233
2019-01-05 19:30:07,149.5602278
2019-01-05 20:30:08,125.3599718
2019-01-05 3:50:03,-221.339569
2019-01-05 4:00:03,-32.84027917
2019-01-05 14:30:06,43.05938102
